Problem Number,First Solution Time,All Solutions Time,Solutions Count,GA Time,Best Fitness,Stop Reason,Last Generation
1,N/A,0.0012478828430175781,0,0.0012478828430175781,214550438,No improvement in 2 iterations,2
2,N/A,0.002919912338256836,0,0.002919912338256836,31743,No improvement in 2 iterations,5
3,N/A,0.0035600662231445312,0,0.0035600662231445312,14801467,No improvement in 2 iterations,6
4,N/A,0.004684925079345703,0,0.004684925079345703,614090,No improvement in 2 iterations,8
5,N/A,0.002382040023803711,0,0.002382040023803711,372168,No improvement in 2 iterations,4
6,N/A,0.002974987030029297,0,0.002974987030029297,466993,No improvement in 2 iterations,5
7,N/A,0.001744985580444336,0,0.001744985580444336,863080,No improvement in 2 iterations,3
8,N/A,0.0017638206481933594,0,0.0017638206481933594,16427748,No improvement in 2 iterations,3
9,N/A,0.0011529922485351562,0,0.0011529922485351562,8311854,No improvement in 2 iterations,2
10,N/A,0.003094911575317383,0,0.003094911575317383,12177079,No improvement in 2 iterations,5
11,N/A,0.0029556751251220703,0,0.0029556751251220703,1640475,No improvement in 2 iterations,5
12,N/A,0.003548860549926758,0,0.003548860549926758,37838,No improvement in 2 iterations,6
13,N/A,0.004180192947387695,0,0.004180192947387695,12276983,No improvement in 2 iterations,7
14,N/A,0.004775285720825195,0,0.004775285720825195,3262211,No improvement in 2 iterations,8
15,N/A,0.00177001953125,0,0.00177001953125,10499611,No improvement in 2 iterations,3
16,N/A,0.004904031753540039,0,0.004904031753540039,127053,No improvement in 2 iterations,8
17,N/A,0.004254341125488281,0,0.004254341125488281,1536529,No improvement in 2 iterations,7
18,N/A,0.0011730194091796875,0,0.0011730194091796875,6894796,No improvement in 2 iterations,2
19,N/A,0.002380847930908203,0,0.002380847930908203,734075,No improvement in 2 iterations,4
20,N/A,0.002379179000854492,0,0.002379179000854492,2135918,No improvement in 2 iterations,4
21,N/A,0.004762887954711914,0,0.004762887954711914,1410034,No improvement in 2 iterations,8
22,N/A,0.0017652511596679688,0,0.0017652511596679688,4325552,No improvement in 2 iterations,3
23,N/A,0.0029840469360351562,0,0.0029840469360351562,377944,No improvement in 2 iterations,5
