Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.2186880111694336,21476,True,7
2,0.09839391708374023,45195,True,3
3,0.15545892715454102,282773,True,5
4,0.12445211410522461,20548,True,4
5,0.13302206993103027,16904,True,4
6,0.12467002868652344,24062,True,4
7,0.1891028881072998,27017,True,6
8,0.10080480575561523,6224,True,3
9,0.09793305397033691,73504,True,3
10,0.06739997863769531,0,False,2
11,0.10023117065429688,161552,True,3
12,0.1013951301574707,63177,True,3
13,0.1860048770904541,15685,True,6
14,0.24086499214172363,0,False,8
15,0.15390825271606445,12190,True,5
16,0.12787079811096191,9531,True,4
17,0.24889326095581055,2785,True,8
18,0.12731122970581055,39225,True,4
19,0.0975949764251709,23596,True,3
20,0.0975198745727539,11228,True,3
21,0.12925386428833008,1859,True,4
22,0.06765103340148926,80414,True,2
23,0.15951895713806152,9621,True,5
24,0.09869217872619629,46555,True,3
25,0.16550183296203613,0,False,5
26,0.24434494972229004,56543,True,8
27,0.1549391746520996,46745,True,5
28,0.1567530632019043,0,False,5
29,0.2157289981842041,29839,True,7
30,0.15411972999572754,0,False,5
31,0.15494799613952637,27418,True,5
32,0.20453524589538574,9727,True,6
33,0.15390300750732422,48494,True,5
34,0.1333179473876953,40556,True,4
35,0.14050507545471191,25912,True,4
36,0.06699132919311523,468523,True,2
37,0.12852883338928223,13936,True,4
38,0.1293351650238037,1049,True,4
39,0.06742119789123535,37260,True,2
40,0.15707778930664062,29546,True,5
41,0.06804895401000977,37145,True,2
42,0.10112810134887695,73740,True,3
43,0.12503886222839355,0,False,4
44,0.10142707824707031,14263,True,3
45,0.06714797019958496,22003,True,2
46,0.15431499481201172,11623,True,5
47,0.09769511222839355,8421,True,3
48,0.24464106559753418,112375,True,8
49,0.12963294982910156,48991,True,4
50,0.10151290893554688,37914,True,3
51,0.1572408676147461,40520,True,5
52,0.12510895729064941,103885,True,4
53,0.067626953125,134901,True,2
54,0.0694127082824707,88460314,True,2
55,0.19034409523010254,15496,True,6
56,0.24288487434387207,9662,True,8
57,0.2694830894470215,60553,True,9
58,0.22006726264953613,17296,True,7
59,0.15707182884216309,59307,True,5
60,0.1553361415863037,79491,True,5
61,0.1266770362854004,5855,True,4
62,0.27684617042541504,27333,True,9
63,0.1586141586303711,4447,True,5
64,0.06695914268493652,264064,True,2
65,0.15664911270141602,135073,True,5
66,0.09681510925292969,39641,True,3
67,0.09749794006347656,60456,True,3
68,0.18217110633850098,177930,True,6
69,0.21404504776000977,15417,True,7
70,0.1282806396484375,41676,True,4
71,0.06784486770629883,190385,True,2
72,0.12467622756958008,2784,True,4
73,0.1834399700164795,0,False,6
74,0.13131093978881836,40128,True,4
75,0.15698480606079102,90403,True,5
76,0.10050487518310547,21540,True,3
77,0.1576089859008789,13322,True,5
78,0.16098999977111816,3443,True,5
79,0.1253507137298584,104194,True,4
80,0.09686493873596191,19359,True,3
81,0.09757399559020996,3361,True,3
82,0.19035601615905762,15456,True,6
83,0.15569114685058594,0,False,5
84,0.21275901794433594,0,False,7
85,0.1536870002746582,539892,True,5
86,0.06681489944458008,64954,True,2
87,0.21680569648742676,11774,True,7
88,0.24178099632263184,9041,True,8
89,0.12688899040222168,81549,True,4
90,0.1856071949005127,29079,True,6
91,0.09704399108886719,44774,True,3
92,0.22101116180419922,17579,True,7
93,0.09562182426452637,384770,True,3
94,0.07223987579345703,109197,True,2
95,0.15543389320373535,0,False,5
96,0.15968012809753418,2736,True,5
97,0.15296220779418945,0,False,5
98,0.21477699279785156,10799,True,7
99,0.12843537330627441,9027,True,4
100,0.12995171546936035,964,True,4
101,0.13098978996276855,23117,True,4
102,0.12610602378845215,37951,True,4
103,0.15942621231079102,26358,True,5
104,0.09850096702575684,31518,True,3
105,0.0985562801361084,112259,True,3
106,0.12879681587219238,7717,True,4
107,0.18485808372497559,77361,True,6
108,0.2732820510864258,0,False,9
109,0.24871611595153809,6357,True,8
