Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.0258991,1370482,true,2
2,0.0191568,56171,true,2
3,0.084705,855337,true,10
4,0.0428177,663706,true,5
5,0.0257354,418454,true,3
6,0.0510019,1770242,true,6
7,0.0259102,182534,true,3
8,0.0429318,56920,true,5
9,0.0427361,172512,true,5
10,0.0594274,0,false,7
11,0.0596444,288227,true,7
12,0.0680312,10038,true,8
13,0.0512015,379151,true,6
14,0.0256448,437873,true,3
15,0.0258045,1660358,true,3
16,0.0172186,692030,true,2
17,0.0172306,752021,true,2
18,0.0931956,197395,true,11
19,0.034241,261023,true,4
20,0.051145,45150,true,6
21,0.043315,197220,true,5
22,0.0367381,473099,true,4
23,0.0510818,229419,true,6
24,0.0426758,501898,true,5
25,0.0341107,23055,true,4
26,0.0172889,93400,true,2
27,0.0173347,228959,true,2
28,0.0597183,143528,true,7
29,0.0171995,31495,true,2
30,0.0172437,21266,true,2
31,0.0447593,129471,true,5
32,0.0239835,284407,true,3
33,0.0320492,0,false,4
34,0.0162461,2541555,true,2
35,0.0243154,1483890,true,3
36,0.0240846,1016910,true,3
37,0.0879431,86572,true,11
38,0.0561381,0,false,7
39,0.0402888,0,false,5
40,0.0486755,47436,true,6
41,0.0245981,347425,true,3
42,0.0403265,428886,true,5
43,0.0402718,47497,true,5
44,0.0161361,27075,true,2
45,0.0723027,93047,true,9
46,0.0564692,433298,true,7
47,0.0721403,174529,true,9
48,0.032253,554066,true,4
49,0.0241737,126941,true,3
50,0.0402148,358297,true,5
51,0.0402225,596913,true,5
52,0.0563132,121846,true,7
53,0.016305,10199888,true,2
54,0.0246605,890896,true,3
55,0.0563147,99728,true,7
56,0.0162007,1006529,true,2
57,0.088387,238327,true,11
58,0.0404829,317607,true,5
59,0.0577491,259956,true,7
60,0.0322899,43795,true,4
61,0.0483168,2249566,true,6
62,0.0483631,189906,true,6
63,0.0562363,118625,true,7
64,0.0322969,879081,true,4
65,0.0643613,0,false,8
66,0.0409285,357057,true,5
67,0.0322483,173485,true,4
68,0.0324055,96618,true,4
69,0.0243473,704642,true,3
70,0.0243462,829403,true,3
71,0.0161838,31275,true,2
72,0.0242724,226274,true,3
73,0.0324576,133623,true,4
74,0.0404812,476753,true,5
75,0.0561066,480472,true,7
76,0.0722651,453417,true,9
77,0.0161755,529277,true,2
78,0.040158,1145581,true,5
79,0.0482497,467695,true,6
80,0.0242824,5334192,true,3
81,0.0482835,19424,true,6
82,0.0482455,341702,true,6
83,0.0323712,1320551,true,4
84,0.0403969,47469,true,5
85,0.0645301,236862,true,8
86,0.0403066,183879,true,5
87,0.0702554,796417,true,6
88,0.0874139,488997,true,10
89,0.0524543,158757,true,6
90,0.0181704,72362013,true,2
91,0.0277168,943390,true,3
92,0.0776899,916268,true,9
93,0.0256868,684745,true,3
94,0.0512711,817779,true,6
95,0.0172536,7966188,true,2
96,0.0343557,118481,true,4
97,0.0426862,98152,true,5
98,0.0596204,114796,true,7
99,0.0256342,147577,true,3
100,0.0511619,746496,true,6
101,0.0257187,104676,true,3
102,0.0258024,361007,true,3
103,0.0678949,274634,true,8
104,0.053015,72773,true,6
105,0.0341697,165280,true,4
106,0.0510208,205602,true,6
107,0.034222,115675,true,4
108,0.0510614,38770,true,6
109,0.0171262,1289672,true,2
110,0.0342315,147266,true,4
111,0.0593952,220785,true,7
112,0.0171576,169323,true,2
113,0.0425154,574886,true,5
114,0.0341424,414396,true,4
115,0.0335092,355604,true,4
116,0.0320739,622708,true,4
117,0.0240684,60155,true,3
118,0.0163118,44605,true,2
119,0.0323342,165491,true,4
120,0.024294,230996,true,3
121,0.0163069,319729,true,2
122,0.0401464,5223091,true,5
123,0.0242462,326728,true,3
124,0.0402864,2072656,true,5
125,0.0324519,104545,true,4
126,0.0403116,360962,true,5
127,0.0485384,58326,true,6
128,0.0325031,528686,true,4
129,0.0487066,10273,true,6
130,0.0649228,150014,true,8
131,0.0243657,536202,true,3
132,0.0804341,516149,true,10
133,0.0644244,20144,true,8
134,0.0404753,139935,true,5
135,0.0162277,986429,true,2
136,0.0403269,23148816,true,5
137,0.03246,178142,true,4
138,0.016231,1343905,true,2
139,0.0242856,247991,true,3
140,0.0323775,391007,true,4
141,0.0646616,207977,true,8
