Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,0.268712,13.7588,1
2,0.004899,14.2766,1
3,0.531032,13.3889,2
4,0.007170,13.166,1
5,2.617309,13.2504,1
6,0.002240,12.9925,1
7,0.064110,13.8104,1
8,0.237571,13.3224,1
9,0.001050,13.4601,1
10,1.721411,12.6207,2
11,0.684341,13.3879,1
12,3.100945,12.6591,1
13,3.979433,13.5071,1
14,1.151859,13.8995,1
15,0.000050,13.3562,1
16,0.000082,13.6784,1
17,0.400478,13.2903,1
18,0.840831,13.4559,1
19,4.937280,14.0648,1
20,0.013427,13.5529,1
21,0.163612,13.5762,1
22,0.000098,13.4716,1
23,1.943219,12.9194,2
24,1.638713,12.5439,1
25,0.764884,13.0644,1
26,1.354429,13.0645,1
27,0.357048,12.9054,2
28,0.006638,13.4291,1
29,0.000379,12.7632,1
30,0.008201,13.3245,1
31,1.790015,12.812,1
32,0.124338,13.1032,1
33,3.181771,13.1166,1
34,0.002415,13.0714,1
35,0.041820,12.7634,1
36,0.047517,12.9279,1
37,0.051491,12.3994,1
38,0.000144,12.08,1
39,0.189669,12.2247,1
40,3.787480,12.9485,2
41,0.016145,12.9192,1
42,0.238035,12.6411,1
43,0.126845,12.3747,1
44,0.116625,11.8878,2
45,0.001161,13.0138,1
46,0.076659,12.5751,1
47,1.436928,12.6371,1
48,1.880098,12.4546,1
49,0.646984,12.2401,1
50,0.555016,13.2379,1
51,0.242339,12.8883,1
52,0.188375,12.7411,1
53,1.312699,12.6474,1
54,2.874297,12.5203,1
55,0.003672,12.5846,1
56,0.000950,12.8896,1
57,0.108790,13.0344,1
58,2.634223,12.2014,1
59,3.918104,12.7528,2
60,0.016133,12.5633,1
61,2.705198,12.9943,1
62,0.018137,12.6785,1
63,4.587449,12.6294,2
64,0.017176,13.0476,1
65,3.768114,12.9401,1
66,3.406030,12.5287,2
67,2.606406,12.0781,1
68,0.591473,12.8747,1
69,4.256007,12.189,1
70,2.615865,12.5189,2
71,0.105044,12.4702,1
72,0.847071,12.0769,1
73,0.055898,12.6878,1
74,0.091255,12.4302,1
75,0.947193,12.0494,1
76,1.101671,12.373,1
77,0.149928,12.6308,1
78,0.081747,12.5413,1
79,0.000445,12.838,1
80,0.012121,12.2253,1
81,0.000237,12.4664,1
82,0.055151,13.1719,1
83,0.014701,12.6377,1
84,1.102695,12.1502,2
85,0.001517,12.2092,1
86,3.861969,12.4488,2
87,0.066739,12.4196,1
88,1.214052,12.6407,1
89,0.001151,12.1802,1
90,0.241936,13.1452,1
91,0.008165,12.6518,1
92,0.020770,12.334,1
93,0.001128,11.8226,1
94,0.000138,12.5212,1
95,0.011516,12.5836,1
96,0.354895,12.1999,1
97,1.767197,12.2897,3
98,1.789830,12.3678,1
99,0.006963,12.7748,1
100,2.791690,12.1018,2
101,0.000345,12.6119,1
102,0.001951,12.6362,1
103,1.699582,12.0964,1
104,1.799001,12.5246,1
105,0.067057,12.0369,1
106,0.110429,11.6573,1
107,1.569519,12.0878,1
108,0.000043,12.495,1
109,0.908079,12.6774,1
110,0.079573,12.2285,1
111,0.016588,12.5246,1
112,0.048319,12.4075,1
113,0.000979,12.6724,1
114,0.242683,12.238,1
115,0.000019,12.515,1
116,3.380530,12.4088,1
117,0.000063,12.6249,1
118,1.912357,12.4942,1
119,1.258612,12.8245,1
120,0.007504,12.4344,1
121,0.023491,12.6787,1
122,0.760422,12.8133,1
123,0.000927,12.4333,1
124,3.376956,12.2568,2
125,2.935307,12.0165,2
126,0.226985,12.3868,1
127,0.335466,12.2479,1
128,0.699607,12.4775,1
129,0.013798,12.0844,1
130,0.721954,12.5751,2
131,0.001049,12.2603,1
132,0.001166,12.4345,1
133,3.335199,12.9178,1
134,0.037869,12.7892,1
135,0.555136,12.1467,1
136,4.415204,12.6954,1
137,0.137415,11.8501,1
138,0.012923,12.5413,1
139,0.000087,12.3538,1
140,0.642563,12.7007,1
141,0.005425,13.1667,1
142,2.425288,13.0014,1
143,2.073749,12.5074,1
144,2.625595,12.0771,1
145,0.167281,11.9604,1
146,0.000077,12.4448,1
147,0.027676,12.1123,1
148,0.028295,11.6515,1
149,1.937895,12.4243,1
150,1.777516,12.6232,1
151,0.116506,12.6874,1
152,3.434810,13.1394,1
153,4.394150,12.4837,1
154,0.968625,12.6151,1
155,0.019032,12.4663,1
156,0.000142,12.3385,1
157,3.912086,12.8117,1
158,0.205844,12.4633,1
159,0.133467,12.2929,1
160,0.003560,11.7616,1
161,0.000134,12.169,1
162,2.533810,12.7493,1
163,0.121357,12.7004,1
164,1.055814,13.3196,1
165,0.622095,12.3169,1
166,0.001264,12.7313,1
167,0.105100,12.8983,1
168,2.138897,12.143,1
169,1.058638,12.7894,1
170,2.116693,12.3559,2
171,0.057133,12.3232,2
172,1.371165,12.5975,1
173,0.027001,12.3495,1
174,0.594396,13.0383,1
175,0.004916,12.0966,1
176,0.075245,12.586,1
177,3.380838,12.9063,2
178,1.715402,12.8306,1
179,0.003266,12.0709,1
180,1.298930,12.4457,2
181,1.607475,12.2684,1
182,0.205312,12.7929,1
183,1.080674,12.3514,1
184,2.028044,12.7732,1
185,0.342600,13.247,1
186,0.444159,12.6078,2
187,0.203691,12.5484,2
188,1.339948,12.4674,1
189,3.414814,12.3887,1
190,0.016143,12.524,1
191,0.051529,12.4062,1
192,0.151855,12.7025,1
193,0.024038,12.7912,1
194,0.130553,12.2054,1
195,0.004223,12.2603,1
196,4.894408,12.5133,1
197,0.013950,12.1971,1
198,3.972510,12.1236,1
199,0.311662,12.7237,1
200,0.000629,12.5196,1
201,3.397100,12.0799,2
202,0.079460,12.4184,1
203,5.095244,12.7903,1
204,0.856003,12.9027,1
205,1.832054,12.1609,1
206,0.857877,12.6303,1
207,0.039461,12.0291,1
208,0.000655,12.5002,1
209,0.194020,12.3245,1
210,0.005355,12.2393,1
211,0.006140,12.7514,1
212,0.002701,12.4475,1
213,0.255458,12.7448,2
214,2.357608,11.9811,1
215,0.874117,12.7029,1
216,0.024011,12.9209,1
217,0.918187,12.1599,2
218,0.034699,12.1609,1
219,0.257079,12.0737,2
220,0.084184,12.1362,1
221,0.002194,11.7898,1
222,0.028840,12.4333,2
223,0.156116,12.4707,2
224,0.531783,12.4523,1
225,0.000072,12.5676,1
