Problem Number,Vector Number,Target Weight,Item Fraction
1,1,1421068217,1.0
2,1,2817811468,1.0
3,1,800351105,0.8333333333333334
4,1,2652179107,1.0
5,1,4431035120,1.0
6,1,3066661406,1.0
7,1,5237596707,1.0
8,1,4185383038,1.0
9,1,3941776880,1.0
10,1,2696406584,1.0
11,1,2612209684,1.0
12,1,3708851061,1.0
13,1,1024898062,0.9583333333333334
14,1,1395402331,1.0
15,1,2696280822,1.0
16,1,4650017869,1.0
17,1,3994637890,1.0
18,1,3909558281,1.0
19,1,5059186847,1.0
20,2,6674040876,1.0
21,2,4192659171,1.0
22,2,5286469384,1.0
23,2,3434651912,1.0
24,2,7896501137,1.0
25,2,856923999,0.6666666666666666
26,2,2548650506,1.0
27,2,2362244339,1.0
28,2,534354783,0.4583333333333333
29,2,2498858935,1.0
30,2,1746137599,1.0
31,2,3535385615,1.0
32,2,6113904336,1.0
33,3,1655278801,1.0
34,3,4138094754,1.0
35,3,3862692847,1.0
36,3,1416599718,1.0
37,3,5638234352,1.0
38,3,3064020099,1.0
39,3,3436306695,1.0
40,3,2202269594,1.0
41,3,4356480014,1.0
42,3,5283152786,1.0
43,3,216324031,0.3333333333333333
44,3,5394559724,1.0
45,3,3118556509,1.0
46,3,1903867074,1.0
47,3,4435926361,1.0
48,3,1714713654,1.0
49,4,4042797969,1.0
50,4,3763634899,1.0
51,4,5781473055,1.0
52,4,2836589581,1.0
53,4,5085358748,1.0
54,4,692105092,0.625
55,4,5983189923,1.0
56,4,1091982159,1.0
57,4,1749198350,1.0
58,4,5874645266,1.0
59,4,3013152704,1.0
60,4,4885942465,1.0
61,4,5686738308,1.0
62,4,5072883334,1.0
63,5,5716486406,1.0
64,5,3209643099,1.0
65,5,2396352120,1.0
66,5,4477893795,1.0
67,5,6294737352,1.0
68,5,1338067590,1.0
69,5,2530076539,1.0
70,5,3639484623,1.0
71,5,5481613810,1.0
72,5,2749231582,1.0
73,5,1181896503,1.0
74,6,5027601083,1.0
75,6,3182215228,1.0
76,6,4719857200,1.0
77,6,4270597928,1.0
78,6,6020762729,1.0
79,6,2467821954,1.0
80,6,2737725681,1.0
81,6,5122238604,1.0
82,6,3731891378,1.0
83,6,1012150581,1.0
84,6,1080025673,1.0
85,7,2412243433,1.0
86,7,3864667202,1.0
87,7,5947561301,1.0
88,7,2656620672,1.0
89,7,2916344705,1.0
90,7,2424279283,1.0
91,7,6344192733,1.0
92,7,6504101608,1.0
93,7,1872869807,1.0
94,7,6050911651,1.0
95,7,1731303099,1.0
96,7,4679740605,1.0
97,7,1888050471,1.0
98,7,2332338831,1.0
99,7,4655354912,1.0
100,7,6300711813,1.0
101,7,6896631788,1.0
102,7,4334126921,1.0
103,7,5279011128,1.0
104,8,6356988973,1.0
105,8,5148172774,1.0
106,8,5846462684,1.0
107,8,1754300511,1.0
108,8,2422429510,1.0
109,8,4666676494,1.0
110,8,1029967783,1.0
111,8,2283037031,1.0
112,8,4221298040,1.0
113,8,4235644061,1.0
114,8,4844237895,1.0
115,8,3738423587,1.0
116,8,4070411298,1.0
117,9,3142267132,1.0
118,9,5148613711,1.0
119,9,2529705524,1.0
120,9,2462772596,1.0
121,9,1288581737,1.0
122,9,4770589497,1.0
123,9,4069846673,1.0
124,9,2504624693,1.0
125,9,5006274185,1.0
126,9,2309103190,1.0
127,9,5003790934,1.0
128,10,4281093822,1.0
129,10,6467922952,1.0
130,10,5747476922,1.0
131,10,1359195149,1.0
132,10,3735879970,1.0
133,10,3408713662,1.0
134,10,1193203944,1.0
135,10,5670351167,1.0
136,10,4986847371,1.0
137,10,6280498714,1.0
138,10,5161858616,1.0
139,10,2839789917,1.0
140,10,2533724822,1.0
141,10,5855676909,1.0
142,10,4735148241,1.0
143,10,1518023130,1.0
144,11,2261573667,1.0
145,11,2398484334,1.0
146,11,3936625192,1.0
147,11,4614985245,1.0
148,11,2959247746,1.0
149,11,5969586962,1.0
150,11,5292560113,1.0
151,11,1064611372,1.0
152,11,1464233877,1.0
153,11,5098262063,1.0
154,11,3634856518,1.0
155,11,5018630990,1.0
156,11,1400212316,1.0
157,11,5018639162,1.0
158,11,3189699756,1.0
159,11,4945925906,1.0
160,11,3073420179,1.0
161,11,4368465602,1.0
162,11,4030185507,1.0
163,12,8016127995,1.0
164,12,6946745265,1.0
165,12,5024697710,1.0
166,12,2058655590,1.0
167,12,4815329222,1.0
168,12,4099990684,1.0
169,12,5653953453,1.0
170,12,6317610284,1.0
171,12,2906161249,1.0
172,12,7366358705,1.0
173,12,5192331900,1.0
174,12,2595240000,1.0
175,12,4457784476,1.0
176,13,2646395263,1.0
177,13,5994501878,1.0
178,13,3095026075,1.0
179,13,5282907287,1.0
180,13,3183472366,1.0
181,13,3001145459,1.0
182,13,7068903493,1.0
183,13,2216149502,1.0
184,13,3921562989,1.0
185,13,5747334607,1.0
186,13,6911928004,1.0
187,13,1675452472,1.0
188,13,2728318674,1.0
189,13,4718127700,1.0
190,13,1705452416,1.0
191,13,5936059956,1.0
192,13,4374866567,1.0
