Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
1,0.0172089,50,true,2
2,0.0263465,27,true,3
3,0.0191943,18,true,2
4,0.0266087,5,true,3
5,0.0360987,18,true,4
6,0.0611357,11,true,7
7,0.0344635,32,true,4
8,0.0343626,16,true,4
9,0.01721,24,true,2
10,0.0172632,19,true,2
11,0.0171928,10,true,2
12,0.034097,15,true,4
13,0.04251,9,true,5
14,0.0170895,21,true,2
15,0.0256865,23,true,3
16,0.0425208,15,true,5
17,0.0425544,34,true,5
18,0.0596765,2,true,7
19,0.0255486,3,true,3
20,0.0340941,39,true,4
21,0.0424381,8,true,5
22,0.0258533,5,true,3
23,0.0173303,3,true,2
24,0.0172092,55,true,2
25,0.0173577,6,true,2
26,0.0513232,2,true,6
27,0.0172381,46,true,2
28,0.0258273,10,true,3
29,0.034354,53,true,4
30,0.0684514,1,true,8
31,0.0172502,73,true,2
32,0.017257,18,true,2
33,0.0171442,33,true,2
34,0.0340084,2,true,4
35,0.0172504,45,true,2
36,0.0258557,2,true,3
37,0.0173842,2,true,2
38,0.0173007,17,true,2
39,0.034562,4,true,4
40,0.017336,6,true,2
41,0.0173028,21,true,2
42,0.0258093,9,true,3
43,0.0257229,1,true,3
44,0.06855,17,true,8
45,0.0681652,6,true,8
46,0.0259229,18,true,3
47,0.0173616,14,true,2
48,0.0260001,5,true,3
49,0.0427542,11,true,5
50,0.0258327,26,true,3
51,0.0682555,8,true,8
52,0.0682803,6,true,8
53,0.0172505,2,true,2
54,0.0343022,23,true,4
55,0.0257999,19,true,3
56,0.025786,60,true,3
57,0.0258379,7,true,3
58,0.0173353,6,true,2
59,0.03431,20,true,4
60,0.0340407,27,true,4
61,0.0171933,112,true,2
62,0.0342792,20,true,4
63,0.0173887,8,true,2
64,0.0429044,19,true,5
65,0.0684805,7,true,8
66,0.0266953,8,true,3
67,0.0173025,75,true,2
68,0.0342848,7,true,4
69,0.0342406,31,true,4
70,0.0172647,16,true,2
71,0.0261696,2,true,3
72,0.0172538,0,false,2
73,0.0514698,15,true,6
74,0.0259634,7,true,3
75,0.0171524,41,true,2
76,0.0347383,1,true,4
77,0.034607,4,true,4
78,0.0348225,3,true,4
79,0.0431,45,true,5
80,0.0165996,41,true,2
81,0.0253445,4,true,3
82,0.0171137,9,true,2
83,0.0257221,7,true,3
84,0.0173482,11,true,2
85,0.0172346,73,true,2
86,0.0343615,14,true,4
87,0.0257664,2,true,3
88,0.0172763,12,true,2
89,0.0601555,2,true,7
90,0.01731,57,true,2
91,0.0343157,3,true,4
92,0.0171768,3,true,2
93,0.000212625,0,false,0
94,0.025505,29,true,3
95,0.0259673,20,true,3
96,0.0172015,68,true,2
97,0.025837,7,true,3
98,0.0256774,25,true,3
99,0.0427469,27,true,5
100,0.0171415,6,true,2
101,0.033998,4,true,4
102,0.025634,27,true,3
103,0.025684,22,true,3
104,0.026012,9,true,3
105,0.0257885,6,true,3
106,0.0172955,15,true,2
107,0.01732,19,true,2
108,0.0256064,11,true,3
109,0.0517857,7,true,6
110,0.0514228,20,true,6
111,0.0172082,51,true,2
112,0.0258372,37,true,3
113,0.017274,73,true,2
114,0.0342202,10,true,4
115,0.0171103,39,true,2
116,0.0256461,23,true,3
117,0.0172337,2,true,2
118,0.0172471,40,true,2
119,0.0342102,8,true,4
120,0.0173731,48,true,2
121,0.0342099,12,true,4
122,0.0257536,1,true,3
123,0.0172746,47,true,2
124,0.0256707,29,true,3
125,0.0341595,1,true,4
126,0.0256356,1,true,3
127,0.0429757,11,true,5
128,0.017344,1,true,2
129,0.0258396,28,true,3
130,0.0174498,10,true,2
131,0.0172705,3,true,2
132,0.0258062,8,true,3
133,0.0428453,1,true,5
134,0.0342226,10,true,4
135,0.0172612,113,true,2
136,0.0172916,3,true,2
137,0.0514085,5,true,6
138,0.0173549,17,true,2
139,0.02582,52,true,3
140,0.0769591,14,true,9
141,0.0258396,37,true,3
142,0.025692,8,true,3
143,0.0428825,15,true,5
144,0.0344802,5,true,4
145,0.0510724,29,true,6
146,0.0256311,0,false,3
147,0.0426133,5,true,5
148,0.0171343,7,true,2
149,0.0172752,11,true,2
150,0.0171729,84,true,2
151,0.0599033,10,true,7
152,0.01718,6,true,2
153,0.0256488,29,true,3
154,0.0418891,19,true,5
155,0.0338928,8,true,4
156,0.0172129,27,true,2
157,0.0342444,8,true,4
158,0.051452,9,true,6
159,0.0171313,68,true,2
160,0.0172257,14,true,2
161,0.0171701,21,true,2
162,0.0171974,64,true,2
163,0.0341046,11,true,4
164,0.0680733,13,true,8
165,0.0256287,17,true,3
166,0.0257186,17,true,3
167,0.0342293,21,true,4
168,0.0172738,25,true,2
169,0.0341246,12,true,4
170,0.05116,7,true,6
171,0.0256602,17,true,3
172,0.0172284,11,true,2
173,0.0427773,9,true,5
174,0.0171625,1,true,2
175,0.0426406,5,true,5
176,0.025706,35,true,3
177,0.0427126,29,true,5
178,0.0256156,24,true,3
179,0.0172188,2,true,2
180,0.0427257,11,true,5
181,0.0170642,31,true,2
182,0.0340944,0,false,4
183,0.0172716,53,true,2
184,0.0257998,49,true,3
185,0.0172048,19,true,2
186,0.0511205,7,true,6
187,0.01719,22,true,2
188,0.025645,61,true,3
189,0.0171356,40,true,2
190,0.0341663,26,true,4
191,0.034091,30,true,4
192,0.0341641,16,true,4
193,0.0427155,8,true,5
194,0.0171108,52,true,2
195,0.0342448,0,false,4
196,0.017182,11,true,2
197,0.0172258,41,true,2
198,0.0427008,6,true,5
199,0.0256075,4,true,3
200,0.0427293,22,true,5
201,0.034299,8,true,4
202,0.0172896,151,true,2
203,0.0256747,9,true,3
204,0.0426823,4,true,5
205,0.0595957,1,true,7
206,0.0259902,2,true,3
207,0.0171093,42,true,2
208,0.0427139,49,true,5
209,0.0172725,12,true,2
210,0.042614,8,true,5
211,0.0170848,17,true,2
212,0.017232,8,true,2
213,0.017603,3,true,2
214,0.0170768,48,true,2
215,0.0347768,14,true,4
216,0.059513,6,true,7
217,0.025872,15,true,3
218,0.0342857,40,true,4
219,0.0341585,11,true,4
220,0.017169,18,true,2
221,0.0340896,20,true,4
222,0.0171642,2,true,2
223,0.0259365,1,true,3
224,0.0171599,8,true,2
225,0.0256495,3,true,3
226,0.0171109,43,true,2
227,0.0172472,29,true,2
228,0.0172718,35,true,2
229,0.034133,17,true,4
230,0.0255819,28,true,3
231,0.0170959,26,true,2
232,0.0172936,69,true,2
233,0.0256638,11,true,3
234,0.0425985,3,true,5
235,0.0171343,72,true,2
236,0.0257595,20,true,3
237,0.034343,9,true,4
238,0.03415,9,true,4
239,0.0172454,14,true,2
240,0.0174323,15,true,2
241,0.0341928,42,true,4
242,0.0256572,14,true,3
243,0.0256679,18,true,3
244,0.0171854,26,true,2
245,0.0510365,24,true,6
246,0.0344049,16,true,4
247,0.0173287,50,true,2
248,0.025838,4,true,3
249,0.0257265,2,true,3
250,0.0341767,12,true,4
251,0.0427291,4,true,5
252,0.0255844,8,true,3
253,0.0426426,0,false,5
254,0.0597746,9,true,7
255,0.0426521,15,true,5
256,0.0171863,13,true,2
257,0.0172622,26,true,2
258,0.0512112,5,true,6
259,0.034166,22,true,4
