Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
1,0.693124,12.4706,2
2,0.883329,12.4052,1
3,0.000863,11.9806,2
4,0.012780,12.1706,2
5,0.354963,12.3267,1
6,0.009033,12.7388,3
7,0.003151,12.8895,6
8,0.008265,12.2604,5
9,0.009149,12.7917,5
10,1.125692,12.1715,1
11,0.047324,13.0094,2
12,0.000642,12.5517,2
13,0.735928,13.5171,3
14,5.050838,12.6803,1
15,1.469673,12.2702,1
16,0.738567,12.6681,2
17,0.003800,13.37,2
18,0.601345,12.3495,1
19,3.917319,12.2615,2
20,0.150051,13.4648,1
21,0.000153,13.2628,1
22,1.407690,12.7545,3
23,3.426493,12.7899,2
24,0.543399,12.524,1
25,0.009803,13.19,1
26,0.604461,12.8437,4
27,2.145388,12.6196,1
28,0.022568,12.93,4
29,0.014592,13.4357,2
30,0.289936,12.3481,4
31,1.406027,12.267,2
32,0.496330,12.6092,2
33,0.052118,12.6006,1
34,5.060646,13.1848,3
35,0.289208,12.9196,4
36,0.877099,12.8339,1
37,0.005101,12.8089,1
38,0.039771,12.903,3
39,0.001554,12.2278,3
40,2.323792,13.3044,1
41,0.869302,12.299,2
42,0.247848,12.7401,5
43,0.244153,12.8104,3
44,0.002965,13.3551,1
45,0.849818,12.3431,2
46,0.765890,13.0788,1
47,0.001217,12.5795,2
48,0.019739,13.3397,1
49,0.643087,12.8937,1
50,3.360573,13.1544,4
51,0.187944,12.4172,2
52,0.000062,12.3047,3
53,1.376972,13.2163,2
54,0.011481,13.0327,1
55,0.510560,12.8117,1
56,1.195925,12.5458,2
57,0.000248,12.5633,2
58,0.179900,12.2286,2
59,0.536986,13.2011,2
60,1.027467,12.3323,3
61,0.000392,12.6117,2
62,3.217350,12.687,1
63,0.001988,12.3382,2
64,0.001135,13.1606,2
65,0.045491,12.7039,2
66,0.273151,13.0305,3
67,0.000535,12.5633,2
68,3.543280,13.1388,4
69,0.046201,12.8497,3
70,0.004173,12.3718,1
71,0.570535,12.6429,3
72,0.020489,13.267,1
73,0.005586,12.6087,1
74,0.123263,12.4945,2
75,4.488668,12.9516,1
76,0.001086,13.1128,2
77,0.001235,12.6951,1
78,4.284606,13.1648,2
79,0.030275,13.3792,1
80,1.100909,12.6502,2
81,0.576722,13.7258,2
82,0.003842,13.6736,2
83,0.001534,13.1101,3
84,1.236985,12.8924,2
85,1.789399,13.2378,2
86,0.037686,13.5919,3
87,0.001918,12.9986,1
88,1.725766,13.4716,1
89,0.033895,13.9305,4
90,5.030957,12.4783,1
91,0.000059,13.8017,1
92,0.207957,12.9018,4
93,5.142244,13.6071,3
94,2.421677,12.8938,3
95,0.765540,14.0808,2
96,0.041808,13.2997,2
97,0.045857,13.5836,3
98,0.117874,13.3245,3
99,0.997949,13.7283,2
100,0.190495,13.3727,1
101,0.034230,13.3706,2
102,0.086646,12.7931,2
103,1.147515,12.7424,3
104,4.529091,13.3588,1
105,0.307366,13.1724,5
106,5.194603,13.3628,1
107,0.001421,12.8863,4
108,0.140506,12.6549,2
109,1.445763,13.0364,5
110,0.004116,12.4009,2
111,0.791151,13.3235,3
112,0.004461,13.8738,3
113,1.212433,13.2815,2
114,0.819573,13.2284,1
115,0.005227,13.0219,1
116,0.431520,13.4666,2
117,0.000050,12.6634,2
118,3.276156,13.2702,1
119,3.794843,12.7877,1
120,0.027458,12.9484,1
121,0.029310,12.4219,1
122,0.887401,12.8148,4
123,1.373663,12.7577,1
124,4.803206,12.932,2
125,0.357724,13.0722,4
126,1.122254,13.455,1
127,1.757656,12.9863,2
128,1.033635,12.9463,2
129,2.316541,12.9009,2
130,0.858695,13.3664,2
131,5.207974,13.1145,2
132,0.821172,13.4021,1
133,0.000139,12.2717,5
134,0.116576,13.2356,7
135,0.326286,12.7905,2
136,0.000074,13.1179,4
137,0.011015,13.3265,4
138,0.018591,12.9666,3
139,0.000126,13.5817,3
140,0.209368,13.5343,2
141,0.014091,13.4564,1
142,0.000255,12.8842,2
143,0.714885,13.4345,2
144,0.004282,13.4822,1
145,1.401450,13.0666,2
146,0.013388,13.2032,3
147,0.008733,13.537,1
148,0.385618,13.6315,2
149,0.004327,13.5193,1
150,0.538073,13.1085,3
151,3.238624,12.9119,1
152,5.310731,13.5073,1
153,0.023189,13.1792,1
154,0.000857,13.1787,4
155,5.066202,11.9352,4
156,4.050091,11.9276,1
157,0.088233,12.7273,1
158,1.506860,13.2597,2
159,4.848008,12.8863,1
160,0.000202,12.7268,1
161,0.000172,12.572,2
162,0.000027,12.9451,1
163,1.451129,13.2533,5
164,0.982763,12.8932,3
165,0.887348,12.8101,2
166,0.000538,12.3341,1
167,0.008281,13.0246,3
168,1.820851,12.3078,2
169,1.812825,13.009,2
170,2.587175,13.2402,3
171,0.000407,12.5968,1
172,0.086552,12.6866,2
173,1.912950,12.343,2
174,3.225580,12.9848,1
175,0.097085,13.0984,1
176,0.000095,12.8086,1
177,1.460856,12.751,1
178,0.040874,12.1892,1
179,0.059287,12.6084,3
180,0.875442,12.3208,1
181,1.272367,12.7168,3
182,0.882993,12.2233,1
183,0.004409,13.532,1
184,0.377862,12.2462,3
185,0.029474,13.559,2
186,0.564756,12.5308,4
187,0.027475,12.4665,4
188,1.498606,12.9984,2
189,0.009896,12.8968,2
190,2.520379,13.6051,1
191,1.959670,12.646,1
192,1.541165,12.658,2
193,1.814576,12.5678,1
194,0.816128,12.6972,2
195,0.017108,13.0558,2
196,5.103466,12.936,3
197,0.018536,13.139,2
198,0.118276,12.6575,4
199,0.276432,13.178,2
200,0.165870,13.3436,1
201,0.021977,12.59,1
202,0.011497,12.6542,1
203,0.843226,12.9918,4
204,0.800261,13.1946,3
205,0.002136,12.888,2
206,0.000030,12.7932,6
207,0.028931,13.1866,1
208,0.001231,13.2477,2
209,0.036661,13.3135,1
210,0.006837,13.1348,3
211,1.213111,13.7207,2
212,0.224046,12.9479,1
213,2.072337,12.8028,1
214,1.106935,13.2007,2
215,0.001818,13.7101,3
216,2.157128,12.8122,1
217,0.304966,12.8231,1
218,0.195636,12.5228,3
219,0.638805,13.2418,1
220,0.152677,13.1216,2
221,0.002120,12.6729,2
222,0.000049,13.4622,3
223,0.000160,13.1675,1
224,3.297918,13.2933,1
225,2.837965,13.061,2
226,0.124400,13.0471,2
227,0.933737,13.2118,2
228,1.033388,12.9006,4
229,0.005345,13.0569,2
230,0.010364,12.5238,1
231,0.729722,13.4453,1
232,3.348313,12.1738,1
233,0.055390,12.7363,1
234,0.001454,12.9917,1
235,0.384812,12.9183,3
236,0.006232,12.1577,2
237,0.263952,12.3795,1
238,1.430506,12.7607,1
239,1.747527,12.7354,1
240,0.846637,13.1622,1
241,0.024551,12.3584,5
242,1.246672,12.6109,2
243,0.000141,12.6723,2
244,0.000066,12.9977,2
245,2.857155,13.1158,2
246,0.000493,12.6013,2
247,2.109399,13.4892,1
248,0.846353,11.8,1
249,0.004220,13.3785,2
250,1.229121,12.5964,3
251,0.000337,12.9791,1
252,0.001099,13.2666,3
253,0.242058,13.1714,3
254,0.000445,13.0692,1
255,0.064966,13.1199,2
256,0.106685,12.6547,1
257,1.746483,13.6784,2
258,0.000024,13.2364,1
259,0.001069,12.6752,1
260,0.003405,13.502,1
261,1.930759,13.1242,3
262,0.431378,13.4787,2
263,0.000880,13.1365,1
264,0.003789,13.1315,3
265,0.647632,12.8214,1
266,0.039475,12.4404,1
267,0.000860,12.3454,2
268,0.052212,12.6439,1
269,0.461604,12.8132,1
270,0.004613,12.4215,1
271,5.246483,13.2279,2
272,0.003245,12.6247,2
273,0.665168,12.3217,3
274,0.259080,12.6886,3
275,0.015275,13.1534,2
276,0.008696,12.6973,2
277,0.593727,12.8599,2
278,4.031187,12.8043,1
279,0.008757,13.0601,1
280,0.534407,12.9388,1
281,0.004784,12.5471,2
282,0.001112,12.7393,2
283,5.033646,12.3381,1
284,0.000058,12.6189,1
285,0.000102,12.1157,3
286,0.000199,12.3752,2
287,3.603112,12.7099,2
288,1.073033,13.016,2
289,0.006706,12.9653,1
290,0.127395,13.2065,1
291,0.018208,12.6498,3
292,0.320245,12.921,3
293,0.357724,13.1768,2
294,0.380391,12.5403,1
295,0.096500,12.7148,1
296,1.235610,12.7901,4
297,0.000349,12.2562,2
298,1.349506,13.1439,1
299,2.640007,12.5516,2
300,2.542146,13.2196,1
301,0.474743,12.8664,1
302,0.304139,13.1294,1
303,0.094129,13.2487,3
304,0.003379,12.6657,1
305,0.000650,13.4378,2
306,1.663070,13.5366,4
307,0.150530,13.0416,1
308,0.000408,12.7198,3
309,0.000048,12.8672,1
310,0.360813,12.5721,2
311,4.491534,12.9708,2
312,0.011250,13.1249,1
313,0.000146,12.9083,4
314,2.193923,12.4872,2
315,0.002507,13.7753,2
316,0.012195,12.8228,3
317,0.340235,13.6668,3
318,1.790546,13.0323,2
319,0.000108,13.1528,2
320,3.228376,13.0146,1
321,0.000166,12.6176,4
322,0.000628,12.8687,1
323,2.191633,12.8052,3
324,0.178107,12.5758,1
325,0.038105,12.4634,2
326,0.049690,12.7261,1
327,0.365818,12.9476,1
328,1.521602,12.6097,2
329,0.076345,12.5091,2
330,0.707819,12.9122,1
331,0.013699,12.3391,2
332,0.146785,13.0924,3
333,0.001774,12.9723,1
334,0.000034,13.0035,1
335,1.495856,13.5079,1
336,0.811605,13.5537,1
337,4.396042,12.9003,1
338,0.189466,12.4101,1
339,2.050743,12.8587,1
340,0.002584,12.7083,2
341,2.919068,13.0967,1
342,0.000068,13.4836,2
343,0.035591,13.7793,2
344,0.000957,14.035,1
345,0.000511,13.8635,1
